retailer,product_name,ingredient_name,cleaned_ingredient_name,gold_ingredient_name,matched_cas_number,Banned_CA,Banned_TW,Banned_EU
Sephora,Rhode Glazing Milk,Water/Aqua/Eau,water,Onsen-Sui,,No,No,No
Sephora,Rhode Glazing Milk,C12-15 Alkyl Benzoate,c12-15 alkyl benzoate,C12-15 Alkyl Benzoate,68411-27-8,No,No,No
Sephora,Rhode Glazing Milk,Coconut Alkanes,coconut alkanes,Coconut Alkanes,112-40-3,No,No,No
Sephora,Rhode Glazing Milk,Glycerin,glycerin,Glycerin,56-81-5,No,No,No
Sephora,Rhode Glazing Milk,Polyglyceryl-3 Oleate,polyglyceryl-3 oleate,Polyglyceryl-3 Oleate,,No,No,No
Sephora,Rhode Glazing Milk,Polyglyceryl-10 Mono/Dioleate,polyglyceryl-10 mono,Polyglyceryl-10 Mono,,No,No,No
Sephora,Rhode Glazing Milk,Tocopheryl Acetate,tocopheryl acetate,Tocopheryl Acetate,7695-91-2,No,No,No
Sephora,Rhode Glazing Milk,Sodium Hyaluronate,sodium hyaluronate,Hydrolyzed Sodium Hyaluronate,,No,No,No
Sephora,Rhode Glazing Milk,Sodium Hyaluronate Crosspolymer,sodium hyaluronate crosspolymer,Sodium Hyaluronate Crosspolymer,105524-32-1,No,No,No
Sephora,Rhode Glazing Milk,Hydrolyzed Sodium Hyaluronate,hydrolyzed sodium hyaluronate,Hydrolyzed Sodium Hyaluronate,9067-32-7,No,No,No
Sephora,Rhode Glazing Milk,Sodium Acetylated Hyaluronate,sodium acetylated hyaluronate,Sodium Acetylated Hyaluronate,158254-23-0,No,No,No
Sephora,Rhode Glazing Milk,Ceramide NP,ceramide np,Ceramide Np,72968-43-5,No,No,No
Sephora,Rhode Glazing Milk,Ceramide AP,ceramide ap,Ceramide Ap,100403-19-8,No,No,No
Sephora,Rhode Glazing Milk,Ceramide EOP,ceramide eop,Ceramide Eop,627881-96-3,No,No,No
Sephora,Rhode Glazing Milk,Beta-Glucan,beta-glucan,Beta-Glucan,26874-89-5,No,No,No
Sephora,Rhode Glazing Milk,Copper Gluconate,copper gluconate,Copper Gluconate,527-09-3,No,No,No
Sephora,Rhode Glazing Milk,Magnesium Aspartate,magnesium aspartate,Magnesium Aspartate,,No,No,No
Sephora,Rhode Glazing Milk,Oleic Acid,oleic acid,Oleic Acid,112-80-1,No,No,No
Sephora,Rhode Glazing Milk,Linoleic Acid,linoleic acid,Linoleic Acid,60-33-3,No,No,No
Sephora,Rhode Glazing Milk,Linolenic Acid,linolenic acid,Linolenic Acid,463-40-1,No,No,No
Sephora,Rhode Glazing Milk,Xanthan Gum,xanthan gum,Xanthan Gum,11138-66-2,No,No,No
Sephora,Rhode Glazing Milk,Zinc Gluconate,zinc gluconate,Zinc Gluconate,4468-02-4,No,No,No
Sephora,Rhode Glazing Milk,Euterpe Oleracea Sterols,euterpe oleracea sterols,Euterpe Oleracea Sterols,,No,No,No
Sephora,Rhode Glazing Milk,Phosphatidylglycerol,phosphatidylglycerol,Phosphatidylglycerol,,No,No,No
