Gold_Ingredient_Name,CAS_Number,Banned_in_California,Banned_in_Taiwan,Banned_in_EU,Aliases,Notes
(+/-) Tetrahydrofurfuryl (R)-2-[4-(6- Chloroquinoxalin-2-Yloxy)Phenyloxy]Propionate,200509-41-7,No,No,Yes,,(EU) 2019/1966
"(+/-)-2-(2,4-Dichlorophenyl)-3-(1H-1,2,4-Triazol-1-Yl)Propyl-1,1,2,2-Tetrafluoroethylether (Tetraconazole - Iso)",112281-77-3,No,No,Yes,,(EC) 2009/1223
(+/-)-Tetrahydrofurfuryl -(R)-2-[4-(6-Chloroquinoxalin-2-Yloxy)Phenyloxy]Propionate (Quizalofop-P-Tefuryl - Iso),119738-06-6,No,No,Yes,,(EC) 2009/1223
"(1,3,4,5,6,7-Hexahydro-1,3-Dioxo-2H-Isoindol-2-Yl)Methyl (1R-Trans)-2,2-Dimethyl-3-(2- Methylprop-1-Enyl)Cyclopropanecarboxylate",1166-46-7,No,No,Yes,,(EU) 2019/1966
"(1-Cyclohexene-1,2-Dicarboximido)Methyl Chrysanthemate",7696-12-0,No,No,Yes,,(EU) 2019/1966
(1E)-N-[(6-Chloropyridin-3-Yl)Methyl]-N'-Cyano-N-Methylethanimidamide,"135410-20-7, 160430-64-8",No,No,Yes,,(EU) 2023/1490
(1E)-N-[4-Chloro-2-(Trifluoromethyl)Phenyl]-1- (1H-Imidazol-1-Yl)-2- Propoxyethanimine,68694-11-1,No,No,Yes,,(EU) 2019/1966
"(1R,4S,5R,8S)-1,2,3,4,10,10-Hexachloro-1,4,4A,5,8,8A-Hexahydro-1,4:5,8-Dimethanonaphthalene (Isodrin-Iso)",465-73-6,No,No,Yes,,(EC) 2009/1223
"(1R,4S,5R,8S)-1,2,3,4,10,10-Hexachloro-6,7-Epoxy-1,4,4A,5,6,7,8,8A-Octahydro-1,4:5,8-Dimethanonaphthalene (Endrin - Iso)",72-20-8,No,No,Yes,,(EC) 2009/1223
"(1Rs,2Rs",55219-65-3,No,No,Yes,,(EU) 2019/831
"(1Rs,2Sr,5Rs","125225-28-7, 115850-69-6, 115937-89-8",No,No,Yes,,(EU) 2021/1902
"(1Rs,5Rs",125116-23-6,No,No,Yes,,(EU) 2019/831
(2-Acetoxyethyl)Trimethylammonium Hydroxide (Acetylcholine) And Its Salts,51-84-3,No,No,Yes,,(EC) 2009/1223
"(2-Chlorobuta-1,3-Diene)",126-99-8,No,No,Yes,,(EC) 2009/1223
(2-Chloroethyl)(3-Hydroxypropyl)Ammonium Chloride,40722-80-3,No,No,Yes,,(EU) 2019/831
(2-Ethylhexanoato-O)(Isodecanoato-O)Nickel,"16083-14-0, 3349-08-4, 39819-65-3, 18721-51-2, 18283-82-4, 22605-92-1, 4454-16-4, 7580-31-6, 93983-68-7, 29317-63-3, 27637-46-3, 84852-37-9, 93920-10-6, 85508-43-6, 85508-44-7, 51818-56-5",No,No,Yes,,(EU) 2019/831
(2-Ethylhexanoato-O)(Isononanoato-O)Nickel,"16083-14-0, 3349-08-4, 39819-65-3, 18721-51-2, 18283-82-4, 22605-92-1, 4454-16-4, 7580-31-6, 93983-68-7, 29317-63-3, 27637-46-3, 84852-37-9, 93920-10-6, 85508-43-6, 85508-44-7, 51818-56-5",No,No,Yes,,(EU) 2019/831
(2-Ethylhexanoato-O)(Neodecanoato-O)Nickel,"16083-14-0, 3349-08-4, 39819-65-3, 18721-51-2, 18283-82-4, 22605-92-1, 4454-16-4, 7580-31-6, 93983-68-7, 29317-63-3, 27637-46-3, 84852-37-9, 93920-10-6, 85508-43-6, 85508-44-7, 51818-56-5",No,No,Yes,,(EU) 2019/831
