cleaned_name,name,cas_number,ec_number,url
p-anisic acid,P-Anisic Acid,100-09-4,202-818-5,https://incidecoder.com/ingredients/p-anisic-acid
benzyl alcohol,Benzyl Alcohol,100-51-6,202-859-9,https://incidecoder.com/ingredients/benzyl-alcohol
acetyl glucosamine,Acetyl Glucosamine,10036-64-3,233-115-1,https://incidecoder.com/ingredients/acetyl-glucosamine
ceramide ap,Ceramide AP,100403-19-8,309-560-3,https://incidecoder.com/ingredients/ceramide-ap
boron nitride,Boron Nitride,10043-11-5,233-136-6,https://incidecoder.com/ingredients/boron-nitride
potassium alum,Potassium Alum,10043-67-1,233-141-3,https://incidecoder.com/ingredients/potassium-alum
hydrogenated vegetable glycerides,Hydrogenated Vegetable Glycerides,100684-29-5,309-701-9,https://incidecoder.com/ingredients/hydrogenated-vegetable-glycerides
saccharide isomerate,Saccharide Isomerate,100843-69-4,,https://incidecoder.com/ingredients/saccharide-isomerate
hexyl cinnamal,Hexyl Cinnamal,101-86-0,202-983-3,https://incidecoder.com/ingredients/hexyl-cinnamal
ci 77742,Ci 77742,10101-66-3,233-257-4,https://incidecoder.com/ingredients/ci-77742
caprooyl tetrapeptide-3,Caprooyl Tetrapeptide-3,1012317-71-3,,https://incidecoder.com/ingredients/caprooyl-tetrapeptide-3
acetyl glycyl beta-alanine,Acetyl Glycyl Beta-Alanine,1016788-34-3,,https://incidecoder.com/ingredients/acetyl-glycyl-beta-alanine
triethanolamine,Triethanolamine,102-71-6,203-049-8,https://incidecoder.com/ingredients/triethanolamine
disodium acetyl glucosamine phosphate,Disodium Acetyl Glucosamine Phosphate,102029-88-9,,https://incidecoder.com/ingredients/disodium-acetyl-glucosamine-phosphate
melaleuca teretifolia branch/leaf oil,Melaleuca Teretifolia Branch/Leaf Oil,1030313-70-2,,https://incidecoder.com/ingredients/melaleuca-teretifolia-branch-leaf-oil
bakuchiol,Bakuchiol,10309-37-2,,https://incidecoder.com/ingredients/bakuchiol
methylene bis-benzotriazolyl tetramethylbutylphenol,Methylene Bis-Benzotriazolyl Tetramethylbutylphenol,103597-45-1,403-800-1,https://incidecoder.com/ingredients/methylene-bis-benzotriazolyl-tetramethylbutylphenol
tetrapeptide-30,Tetrapeptide-30,1036207-61-0,,https://incidecoder.com/ingredients/tetrapeptide-30
olive oil peg-7 esters,Olive Oil PEG-7 Esters,103819-46-1,,https://incidecoder.com/ingredients/olive-oil-peg-7-esters
chlorphenesin,Chlorphenesin,104-29-0,203-192-6,https://incidecoder.com/ingredients/chlorphenesin
dibutyl adipate,Dibutyl Adipate,105-99-7,203-350-4,https://incidecoder.com/ingredients/dibutyl-adipate
sodium hyaluronate crosspolymer,Sodium Hyaluronate Crosspolymer,105524-32-1,,https://incidecoder.com/ingredients/sodium-hyaluronate-crosspolymer
citronellol,Citronellol,106-22-9,203-375-0,https://incidecoder.com/ingredients/citronellol
geraniol,Geraniol,106-24-1,203-377-1,https://incidecoder.com/ingredients/geraniol
butane,Butane,106-97-8,203-448-7,https://incidecoder.com/ingredients/butane
hexylene glycol,Hexylene Glycol,107-41-5,203-489-0,https://incidecoder.com/ingredients/hexylene-glycol
betaine,Betaine,107-43-7,203-490-6,https://incidecoder.com/ingredients/betaine
disiloxane,Disiloxane,107-46-0,203-492-7,https://incidecoder.com/ingredients/disiloxane
trisiloxane,Trisiloxane,107-51-7,203-497-4,https://incidecoder.com/ingredients/trisiloxane
hydroxycitronellal,Hydroxycitronellal,107-75-5,203-518-7,https://incidecoder.com/ingredients/hydroxycitronellal
butylene glycol,Butylene Glycol,107-88-0,203-529-7,https://incidecoder.com/ingredients/butylene-glycol
polyglyceryl-6 polyricinoleate,Polyglyceryl-6 Polyricinoleate,107615-51-0,,https://incidecoder.com/ingredients/polyglyceryl-6-polyricinoleate
thioctic acid,Thioctic Acid,1077-28-7,214-071-2,https://incidecoder.com/ingredients/thioctic-acid
