ingredient_name,retailer,product_name,cas_number
Water/Aqua/Eau,Sephora,Rhode Glazing Milk,
C12-15 Alkyl Benzoate,Sephora,Rhode Glazing Milk,68411-27-8
Coconut Alkanes,Sephora,Rhode Glazing Milk,112-40-3
Glycerin,Sephora,Rhode Glazing Milk,56-81-5
Polyglyceryl-3 Oleate,Sephora,Rhode Glazing Milk,
Polyglyceryl-10 Mono/Dioleate,Sephora,Rhode Glazing Milk,
Tocopheryl Acetate,Sephora,Rhode Glazing Milk,7695-91-2
Sodium Hyaluronate,Sephora,Rhode Glazing Milk,
Sodium Hyaluronate Crosspolymer,Sephora,Rhode Glazing Milk,105524-32-1
Hydrolyzed Sodium Hyaluronate,Sephora,Rhode Glazing Milk,9067-32-7
Sodium Acetylated Hyaluronate,Sephora,Rhode Glazing Milk,158254-23-0
Ceramide NP,Sephora,Rhode Glazing Milk,72968-43-5
Ceramide AP,Sephora,Rhode Glazing Milk,100403-19-8
Ceramide EOP,Sephora,Rhode Glazing Milk,627881-96-3
Beta-Glucan,Sephora,Rhode Glazing Milk,26874-89-5
Copper Gluconate,Sephora,Rhode Glazing Milk,527-09-3
Magnesium Aspartate,Sephora,Rhode Glazing Milk,
Oleic Acid,Sephora,Rhode Glazing Milk,112-80-1
Linoleic Acid,Sephora,Rhode Glazing Milk,60-33-3
Linolenic Acid,Sephora,Rhode Glazing Milk,463-40-1
Xanthan Gum,Sephora,Rhode Glazing Milk,11138-66-2
Zinc Gluconate,Sephora,Rhode Glazing Milk,4468-02-4
Euterpe Oleracea Sterols,Sephora,Rhode Glazing Milk,
Phosphatidylglycerol,Sephora,Rhode Glazing Milk,
Phytosphingosine,Sephora,Rhode Glazing Milk,554-62-1
Caprylyl Glycol,Sephora,Rhode Glazing Milk,1117-86-8
Cholesterol,Sephora,Rhode Glazing Milk,57-88-5
Coco-Caprylate/Caprate,Sephora,Rhode Glazing Milk,
PEG-7 Glyceryl Cocoate,Sephora,Rhode Glazing Milk,66105-29-1
Cetyl Hydroxyethylcellulose,Sephora,Rhode Glazing Milk,80455-45-4
Carbomer,Sephora,Rhode Glazing Milk,9007-20-9
Sodium Lauroyl Lactylate,Sephora,Rhode Glazing Milk,13557-75-0
Pentylene Glycol,Sephora,Rhode Glazing Milk,5343-92-0
"1,2-Hexanediol",Sephora,Rhode Glazing Milk,6920-22-5
Sodium Phytate,Sephora,Rhode Glazing Milk,14306-25-3
Phenoxyethanol,Sephora,Rhode Glazing Milk,122-99-6
Ethylhexylglycerin,Sephora,Rhode Glazing Milk,70445-33-9
Sodium_Benzoate,Sephora,Rhode Glazing Milk,
Chlorphenesin,Sephora,Rhode Glazing Milk,104-29-0
Citric Acid,Sephora,Rhode Glazing Milk,77-92-9
Hydrogenated Polyisobutene,Sephora,Rhode Peptide Lip Treatment,40921-86-6
Diisostearyl Malate,Sephora,Rhode Peptide Lip Treatment,
Butyrospermum Parkii (Shea) Butter,Sephora,Rhode Peptide Lip Treatment,
Polybutene,Sephora,Rhode Peptide Lip Treatment,
Microcrystalline Wax (Cera Microcristallina) (Cire Microcristalline),Sephora,Rhode Peptide Lip Treatment,
Synthetic Wax,Sephora,Rhode Peptide Lip Treatment,
