cleaned_name,cas_number,notes,region
dibutyl phthalate,84-74-2,Ban Year: 2025,California
diethylhexyl phthalate,117-81-7,Ban Year: 2025,California
formaldehyde,50-00-0,Ban Year: 2025,California
paraformaldehyde,30525-89-4,Ban Year: 2025,California
methylene glycol,463-57-0,Ban Year: 2025,California
quaternium-15,51229-78-8,Ban Year: 2025,California
mercury,7439-97-6,Ban Year: 2025,California
isobutylparaben,2/3/4247,Ban Year: 2025,California
isopropylparaben,4191-73-5,Ban Year: 2025,California
m-phenylenediamine and its salts,108-45-2,Ban Year: 2025,California
o-phenylenediamine and its salts,95-54-5,Ban Year: 2025,California
perfluorooctane sulfonate (pfos),1763-23-1,Ban Year: 2025,California
potassium perfluorooctanesulfonate,2795-39-3,Ban Year: 2025,California
diethanolamine perfluorooctane sulfonate,70225-14-8,Ban Year: 2025,California
ammonium perfluorooctane sulfonate,29081-56-9,Ban Year: 2025,California
lithium perfluorooctane sulfonate,29457-72-5,Ban Year: 2025,California
perfluorooctanoic acid (pfoa),335-67-1,Ban Year: 2025,California
ammonium pentadecafluorooctanoate,3825-26-1,Ban Year: 2025,California
nonadecafluorodecanoic acid,355-76-2,Ban Year: 2025,California
ammonium nonadecafluorodecanoate,3108-42-7,Ban Year: 2025,California
sodium nonadecafluorodecanoate,3830-45-3,Ban Year: 2025,California
perfluorononanoic acid (pfna),375-95-1,Ban Year: 2025,California
sodium heptadecafluorononanoate,21049-39-8,Ban Year: 2025,California
ammonium perfluorononanoate,4149-60-4,Ban Year: 2025,California
lily aldehyde,80-54-6,Ban Year: 2027,California
acetaldehyde,75-07-0,Ban Year: 2027,California
cyclohexylamine,108-91-8,Ban Year: 2027,California
cyclotetrasiloxane,556-67-2,Ban Year: 2027,California
phytonadione,84-80-0,Ban Year: 2027,California
sodium perborate,15120-21-5,Ban Year: 2027,California
styrene,100-42-5,Ban Year: 2027,California
trichloroacetic acid,76-03-9,Ban Year: 2027,California
tricresyl phosphate,1330-78-5,Ban Year: 2027,California
vinyl acetate,0108-05-04,Ban Year: 2027,California
2-chloracetamide,79-07-2,Ban Year: 2027,California
allyl isothiocyanate,57-06-7,Ban Year: 2027,California
anthraquinone,84-65-1,Ban Year: 2027,California
malachite green,569-64-2,Ban Year: 2027,California
oil from the seeds of laurus nobilis l.,84603-73-6,Ban Year: 2027,California
pyrogallol,87-66-1,Ban Year: 2027,California
c.i. disperse blue 1,2475-45-8,Ban Year: 2027,California
trisodium nitrilotriacetate,5064-31-3,Ban Year: 2027,California
perboric acid sodium salt,11138-47-9,Ban Year: 2027,California
perboric acid sodium salt monohydrate,12040-72-1,Ban Year: 2027,California
sodium perborate monohydrate,10332-33-9,Ban Year: 2027,California
boric acid,10043-35-3,Ban Year: 2027,California
boric acid,11113-50-1,Ban Year: 2027,California
disodium octaborate anhydrous,12008-41-2,Ban Year: 2027,California
disodium octaborate tetrahydrate,12280-03-04,Ban Year: 2027,California
2-aminoethanol monoester with boric acid,10377-81-8,Ban Year: 2027,California
2-hydroxypropyl ammonium dihydrogen orthoborate,68003-13-4,Ban Year: 2027,California
potassium borate (boric acid potassium salt),12712-38-8,Ban Year: 2027,California
trioctyldodecyl borate,,Ban Year: 2027,California
zinc borate,1332-07-06,Ban Year: 2027,California
sodium borate (disodium tetraborate anhydrous),1330-43-4,Ban Year: 2027,California
tetraboron disodium heptaoxide hydrate,12267-73-1,Ban Year: 2027,California
orthoboric acid sodium salt,13840-56-7,Ban Year: 2027,California
disodium tetraborate decahydrate (borax decahydrate),1303-96-4,Ban Year: 2027,California
disodium tetraborate pentahydrate (borax pentahydrate),12179-04-03,Ban Year: 2027,California
c.i. disperse blue 3,2475-46-9,Ban Year: 2027,California
basic green 1,0633-03-04,Ban Year: 2027,California
basic blue 7,2390-60-5,Ban Year: 2027,California
basic violet 4,2390-59-2,Ban Year: 2027,California
basic blue 3,33203-82-6,Ban Year: 2027,California
basic blue 9,61-73-4,Ban Year: 2027,California
