cleaned_name,cas_number,notes,region
n-(5-chlorobenzoxazol-2-yl)acetamide,35783-57-4,(EC) 2009/1223,EU
(2-acetoxyethyl)trimethylammonium hydroxide (acetylcholine) and its salts,51-84-3,(EC) 2009/1223,EU
deanol aceglumate (inn),3342-61-8,(EC) 2009/1223,EU
spironolactone (inn),52-01-7,(EC) 2009/1223,EU
"[4-(4-hydroxy-3-iodophenoxy)-3,5-diiodophenyl]acetic acid (tiratricol (inn)) and its salts",51-24-1,(EC) 2009/1223,EU
methotrexate (inn),59-05-2,(EC) 2009/1223,EU
aminocaproic acid (inn) and its salts,60-32-2,(EC) 2009/1223,EU
"cinchophen (inn), its salts, derivatives and salts of these derivatives",132-60-5,(EC) 2009/1223,EU
"cinchophen (inn), its salts, derivatives and salts of these derivatives",5949-18-8,(EC) 2009/1223,EU
thyropropic acid (inn) and its salts,51-26-3,(EC) 2009/1223,EU
trichloroacetic acid,76-03-9,(EC) 2009/1223,EU
"aconitum napellus l. (leaves, roots and galenical preparations)",84603-50-9,(EC) 2009/1223,EU
aconitine (principal alkaloid of aconitum napellus l.) and its salts,302-27-2,(EC) 2009/1223,EU
adonis vernalis l. and its preparations,84649-73-0,(EC) 2009/1223,EU
epinephrine (inn),51-43-4,(EC) 2009/1223,EU
"rauwolfia serpentia l., alkaloids and their salts",90106-13-1,(EC) 2009/1223,EU
"alkyne alcohols, their esters, ethers and salts",,(EC) 2009/1223,EU
isoprenaline (inn),7683-59-2,(EC) 2009/1223,EU
allyl isothiocyanate,57-06-7,(EC) 2009/1223,EU
alloclamide (inn) and its salts,5486-77-1,(EC) 2009/1223,EU
"nalorphine (inn), its salts and ethers",62-67-9,(EC) 2009/1223,EU
sympathicomimetic amines acting on the central nervous system: any substance contained in the first list of medicaments which are subject to medical prescription and referred to in resolution ap (69) 2 of the council of europe,300-62-9,(EC) 2009/1223,EU
"aniline, its salts and its halogenated and sulphonated derivatives",62-53-3,(EC) 2009/1223,EU
betoxycaine (inn) and its salts,3818-62-0,(EC) 2009/1223,EU
zoxazolamine (inn),61-80-3,(EC) 2009/1223,EU
"procainamide (inn), its salts and derivatives",51-06-9,(EC) 2009/1223,EU
benzidine,92-87-5,(EC) 2009/1223,EU
"tuaminoheptane (inn), its isomers and salts",123-82-0,(EC) 2009/1223,EU
octodrine (inn) and its salts,543-82-8,(EC) 2009/1223,EU
"2-amino-1,2-bis(4-methoxyphenyl)ethanol and its salts",530-34-7,(EC) 2009/1223,EU
"1,3-dimethylpentylamine and its salts",105-41-9,(EC) 2009/1223,EU
4-aminosalicylic acid and its salts,65-49-6,(EC) 2009/1223,EU
"toluidines, their isomers, salts and halogenated and sulphonated derivatives",26915-12-8,(EC) 2009/1223,EU
"xylidines, their isomers, salts and halogenated and sulphonated derivatives",1300-73-8,(EC) 2009/1223,EU
"imperatorin (9-(3-methylbut-2-enyloxy)furo[3,2-g]chromen-7-one)",482-44-0,(EC) 2009/1223,EU
ammi majus l. and its galenical preparations,90320-46-0,(EC) 2009/1223,EU
"2,3-dichloro-2-methylbutane",507-45-9,(EC) 2009/1223,EU
substances with androgenic effect,,(EC) 2009/1223,EU
anthracene oil,120-12-7,(EC) 2009/1223,EU
"distillates (coal tar), pitch, pyrene fraction",91995-52-7,(EC) 2009/1223,EU
"distillates (coal tar), pitch",101316-49-8,(EC) 2009/1223,EU
antibiotics,,(EC) 2009/1223,EU
antimony and its compound,7440-36-0,(EC) 2009/1223,EU
apocynum cannabium l. and its preparations,84603-51-0,(EC) 2009/1223,EU
"apomorphine ((r)-5,6,6a,7-tetrahydro-6-methyl-4h-dibenzo[de,g]quinoline-10,11-diol)) and its salts",58-00-4,(EC) 2009/1223,EU
arsenic and its compounds,7440-38-2,(EC) 2009/1223,EU
atropa belladonna l. and its preparations,8007-93-0,(EC) 2009/1223,EU
"atropine, its salts and derivatives",51-55-8,(EC) 2009/1223,EU
"barium salts, with the exception of barium sulphide under the conditions laid down in annex iii and of barium sulfate, lakes, salts and pigments prepared from the colouring agents when listed in annex iv",,(EC) 2009/1223,EU
benzene,71-43-2,(EC) 2009/1223,EU
benzimidazol-2(3h)-one,615-16-7,(EC) 2009/1223,EU
benzazepines and benzodiazepines,12794-10-4,(EC) 2009/1223,EU
1-dimethylaminomethyl-1-methylpropyl benzoate (amylocaine) and its salts,644-26-8,(EC) 2009/1223,EU
"2,2,6-trimethyl-4-piperidyl benzoate (eucaine) and its salts",500-34-5,(EC) 2009/1223,EU
isocarboxazid (inn),59-63-2,(EC) 2009/1223,EU
bendroflumethiazide (inn) and its derivatives,73-48-3,(EC) 2009/1223,EU
beryllium and its compounds,7440-41-7,(EC) 2009/1223,EU
"bromine, elemental",7726-95-6,(EC) 2009/1223,EU
bretylium tosilate (inn),61-75-6,(EC) 2009/1223,EU
carbromal (inn),77-65-6,(EC) 2009/1223,EU
bromisoval (inn),496-67-3,(EC) 2009/1223,EU
brompheniramine (inn) and its salts,86-22-6,(EC) 2009/1223,EU
