cleaned_name,cas_number,notes,region
mercury and its compounds,7439-97-6,"1.化粧品防腐劑成分名稱及使用限制表中另有規定者除外. 2.化粧品於製造過程中, 如因所需使用原料或其他等因素, 且技術上無法排除, 致含自然殘留微量之重金屬汞(水銀)時, 則其最終製品中所含不純物重金屬汞(水銀)之殘留量不得超過1ppm. ",Taiwan
"3'-ethyl-5',6',7',8'-tetrahydro-5',5',8',8'-tetramethyl-2'- acetonaphthone or 7-acetyl-6-ethyl-1,1,4,4-tetramethyl-1,2,3,4-tetrahydronaphtalen",88-29-9,,Taiwan
impatientis semen,,,Taiwan
knoxiae radix,,,Taiwan
stellera chamaejasme l.,,,Taiwan
anemone hupehensis lemoine,,,Taiwan
barium salts,,硫酸鋇及色素之不溶性鋇鹽(salts)、麗基(lakes)和顏料(pigments)除外. ,Taiwan
tetrahydrocannabinols,1972-08-3,"如化粧品中使用大麻籽油(Cannabis sativa seed oil(Hemp seed oil))為原料時, 則其最終製品中所含四氫大麻酚(Tetrahydrocannabinols)之殘留量不得超過10ppm. ",Taiwan
nonylphenol and nonylphenol polyethylene glycol ether,25154-52-3,"化粧品於製造過程中, 如因所需使用之原料或其他因素, 且技術上無法避免, 致含自然殘留微量時, 則其最終製品中所含壬基酚或壬基酚聚乙氧基醇之殘留量, 不得超過1000ppm. ",Taiwan
substances with androgenic effect,,,Taiwan
"2,2,2 -trichloroethane-1,1-diol",302-17-0,,Taiwan
pharbitidis semen,,,Taiwan
"n,n-bismethylamine n-oxide and its salts",126-85-2,,Taiwan
chlormethine  and its salts,51-75-2,,Taiwan
cyclophosphamide  and its salts,50-18-0,,Taiwan
cobalt benzenesulphonate,23384-69-2,,Taiwan
"dichloroethanes  e.g. 1,2-dichloroethane",107-06-2,,Taiwan
"o,o' -diethyl-o-4-nitrophenyl phosphorothioate",56-38-2,,Taiwan
barbiturates,,,Taiwan
metaldehyde,9002-91-9,,Taiwan
triamterene  and its salts,396-01-0,,Taiwan
tabanus,,,Taiwan
thiotepa,52-24-4,,Taiwan
trichlormethine  and its salts,555-77-1/817-09-4/ 6138-32-5,,Taiwan
"furocoumarines , 8 -methoxypsoralen, 5-methoxypsoralen) except for normal content in natural essences used.",298-81-7/ 484-20-8/ 3902-71-4,"In sun protection and in bronzing products, furocoumarines shall be below 1 mg/kg",Taiwan
"2,3,7,8-tetrachlorodibenzo-p-dioxin",1746-01-6,,Taiwan
"1,2-epoxybutane",106-88-7,,Taiwan
"3,3-bisphthalide )",77-09-8,,Taiwan
"ethyl acrylate, when used as a fragrance ingredient",140-88-5,,Taiwan
cobalt sulphate,10124-43-3,,Taiwan
nickel monoxide; nickel oxide; bunsenite,1313-99-1/ 11099-02-8/ 34492-97-2,,Taiwan
nickel dioxide,12035-36-8,,Taiwan
acrolein,107-02-8,,Taiwan
nickel sulfide,16812-54-7,,Taiwan
"hydrocarbons, c4, 1,3 -butadiene- and isobutene-free, if they contain > 0.1% w/w butadiene",95465-89-7,,Taiwan
benzo[def]chrysene;,50-32-8,,Taiwan
"pitch, coal tar, high -temp., heat-treated, if it contains > 0.005% w/w benzo[a]pyrene",121575-60-8,,Taiwan
"dibenz[a,h]anthracene",53-70-3,,Taiwan
benz[a]anthracene,56-55-3,,Taiwan
benzo[j]fluoranthene,205-82-3,,Taiwan
benz[e]acephenanthrylene,205-99-2,,Taiwan
benzo[k]fluoranthene,207-08-9,,Taiwan
chrysene,218-01-9,,Taiwan
acrylamide,79-06-1,"如化粧品中使用含Polyacrylamides 及其相關聚合物成分之原料時, 則其最終製品中所含Acrylamide之殘留量不得超過0.1ppm;對於使用後須沖洗掉或非駐留身體肌膚用之化粧品, 其最終製品中所含Acrylamide之殘留量不得超過0.5ppm. ",Taiwan
"2,3-dibromopropan-1-ol",96-13-9,,Taiwan
"1,3-dichloropropan-2-ol",96-23-1,,Taiwan
alpha-chlorotoluene,100-44-7,,Taiwan
methyloxirane,75-56-9,,Taiwan
"1,2-epoxy-3-phenoxypropane",122-60-1,,Taiwan
"2,3-epoxypropan-1-ol",556-52-5,,Taiwan
urethane,51-79-6,,Taiwan
2-nitropropane,79-46-9,,Taiwan
2-nitroanisole,91-23-6,,Taiwan
"2,4-dinitrotoluene; dinitrotoluene, technical grade",121-14-2/ 25321-14-6,,Taiwan
acrylonitrile,107-13-1,,Taiwan
5-nitroacenaphthene,602-87-9,,Taiwan
"2,6-dinitrotoluene",606-20-2,,Taiwan
1-methyl-3-nitro-1-nitrosoguanidine,70-25-7,,Taiwan
"4,4'- dianiline hydrochloride",569-61-9/479-73-2,,Taiwan
o-toluidine based dyes,,,Taiwan
methyl acetate,592-62-1,,Taiwan
furan,110-00-9,,Taiwan
"1,3-propanesultone",1120-71-4,,Taiwan
erionite,12510-42-8,,Taiwan
aldrin,309-00-2,,Taiwan
"disodium 4 -amino-3-[[4'-[azo] [1,1'-biphenyl]-4-yl]azo]-5-hydroxy-6-naphthalene-2,7-disulphonate",1937-37-7,,Taiwan
"disodium[5 -[[4'-[[2,6-dihydroxy-3-[azo]phenyl]azo][1,1'-biphenyl]-4-yl]azo]salicylato]cuprate",16071-86-6,,Taiwan
resorcinol diglycidyl ether,101-90-6,,Taiwan
