ingredient,cas_number,ban_year
Dibutyl phthalate,84-74-2,2025
Diethylhexyl phthalate,117-81-7,2025
Formaldehyde,50-00-0,2025
Paraformaldehyde,30525-89-4,2025
Methylene glycol,463-57-0,2025
Quaternium-15,51229-78-8,2025
Mercury,7439-97-6,2025
Isobutylparaben,2/3/4247,2025
Isopropylparaben,4191-73-5,2025
m-Phenylenediamine and its salts,108-45-2,2025
o-Phenylenediamine and its salts,95-54-5,2025
Perfluorooctane sulfonate (PFOS),1763-23-1,2025
Potassium perfluorooctanesulfonate,2795-39-3,2025
Diethanolamine perfluorooctane sulfonate,70225-14-8,2025
Ammonium perfluorooctane sulfonate,29081-56-9,2025
Lithium perfluorooctane sulfonate,29457-72-5,2025
Perfluorooctanoic acid (PFOA),335-67-1,2025
Ammonium pentadecafluorooctanoate,3825-26-1,2025
Nonadecafluorodecanoic acid,355-76-2,2025
Ammonium nonadecafluorodecanoate,3108-42-7,2025
Sodium nonadecafluorodecanoate,3830-45-3,2025
Perfluorononanoic acid (PFNA),375-95-1,2025
Sodium heptadecafluorononanoate,21049-39-8,2025
Ammonium perfluorononanoate,4149-60-4,2025
Lily aldehyde,80-54-6,2027
Acetaldehyde,75-07-0,2027
Cyclohexylamine,108-91-8,2027
Cyclotetrasiloxane,556-67-2,2027
Phytonadione,84-80-0,2027
Sodium perborate,15120-21-5,2027
Styrene,100-42-5,2027
Trichloroacetic acid,76-03-9,2027
Tricresyl phosphate,1330-78-5,2027
Vinyl acetate,0108-05-04,2027
2-Chloracetamide,79-07-2,2027
Allyl isothiocyanate,57-06-7,2027
Anthraquinone,84-65-1,2027
Malachite green,569-64-2,2027
Oil from the seeds of Laurus nobilis L.,84603-73-6,2027
Pyrogallol,87-66-1,2027
C.I. disperse blue 1,2475-45-8,2027
Trisodium nitrilotriacetate,5064-31-3,2027
Perboric acid sodium salt,11138-47-9,2027
Perboric acid sodium salt monohydrate,12040-72-1,2027
Sodium perborate monohydrate,10332-33-9,2027
Boric acid,10043-35-3,2027
Boric acid,11113-50-1,2027
Disodium octaborate anhydrous,12008-41-2,2027
Disodium octaborate tetrahydrate,12280-03-04,2027
2-Aminoethanol monoester with boric acid,10377-81-8,2027
2-Hydroxypropyl ammonium dihydrogen orthoborate,68003-13-4,2027
Potassium borate (boric acid potassium salt),12712-38-8,2027
Trioctyldodecyl borate,N/A,2027
Zinc borate,1332-07-06,2027
Sodium borate (disodium tetraborate anhydrous),1330-43-4,2027
Tetraboron disodium heptaoxide hydrate,12267-73-1,2027
Orthoboric acid sodium salt,13840-56-7,2027
Disodium tetraborate decahydrate (borax decahydrate),1303-96-4,2027
Disodium tetraborate pentahydrate (borax pentahydrate),12179-04-03,2027
C.I. disperse blue 3,2475-46-9,2027
Basic green 1,0633-03-04,2027
Basic blue 7,2390-60-5,2027
Basic violet 4,2390-59-2,2027
Basic blue 3,33203-82-6,2027
Basic blue 9,61-73-4,2027
