編號,成分名稱,CAS_Number,備註
1,Mercury and its compounds,7439-97-6,1.化粧品防腐劑成分名稱及使用限制表中另有規定者除外。2.化粧品於製造過程中，如因所需使用原料或其他等因素，且技術上無法排除，致含自然殘留微量之重金屬汞(水銀)時，則其最終製品中所含不純物重金屬汞(水銀)之殘留量不得超過1ppm。
10,"3'-Ethyl-5',6',7',8'-tetrahydro-5',5',8',8'-tetramethyl-2'- acetonaphthone or 7-acetyl-6-ethyl-1,1,4,4-tetramethyl-1,2,3,4-tetrahydronaphtalen (AETT; Versalide)",88-29-9,
100,Impatientis Semen（急性子）,,
101,Knoxiae Radix（紅大戟）,,
322,Stellera chamaejasme L. (狼毒),,
323,Anemone hupehensis Lemoine (打破碗花),,
324,Barium salts,,硫酸鋇及色素之不溶性鋇鹽(salts)、麗基(lakes)和顏料(pigments)除外。
325,Tetrahydrocannabinols,1972-08-3,如化粧品中使用大麻籽油(Cannabis sativa seed oil(Hemp seed oil))為原料時，則其最終製品中所含四氫大麻酚(Tetrahydrocannabinols)之殘留量不得超過10ppm。
326,Nonylphenol and Nonylphenol polyethylene glycol ether,25154-52-3,化粧品於製造過程中，如因所需使用之原料或其他因素，且技術上無法避免，致含自然殘留微量時，則其最終製品中所含壬基酚或壬基酚聚乙氧基醇之殘留量，不得超過1000ppm。
327,Substances with androgenic effect,,
328,"2,2,2 -Trichloroethane-1,1-diol",302-17-0,
102,Pharbitidis Semen（牽牛子）,,
329,"N,N-bis(2-Chloroethyl)methylamine N-oxide and its salts",126-85-2,
330,Chlormethine (INN) and its salts,51-75-2,
331,Cyclophosphamide (INN) and its salts,50-18-0,
332,Cobalt benzenesulphonate,23384-69-2,
333,"Dichloroethanes (ethylene chlorides) e.g. 1,2-Dichloroethane",107-06-2,
334,"O,O' -Diethyl-O-4-nitrophenyl phosphorothioate",56-38-2,
335,Barbiturates,,
336,Metaldehyde,9002-91-9,
337,Triamterene (INN) and its salts,396-01-0,
103,Tabanus（虻蟲）,,
338,Thiotepa (INN),52-24-4,
339,Trichlormethine (INN) and its salts,555-77-1/817-09-4/ 6138-32-5,
340,"Furocoumarines (e.g. trioxysalen (INN), 8 -methoxypsoralen, 5-methoxypsoralen) except for normal content in natural essences used.",298-81-7/ 484-20-8/ 3902-71-4,"In sun protection and in bronzing products, furocoumarines shall be below 1 mg/kg"
341,"2,3,7,8-Tetrachlorodibenzo-p-dioxin (TCDD)",1746-01-6,
342,"1,2-Epoxybutane",106-88-7,
343,"3,3-Bis(4-hydroxyphenyl)phthalide (Phenolphthalein (INN))",77-09-8,
344,"Ethyl acrylate, when used as a fragrance ingredient",140-88-5,
345,Cobalt sulphate,10124-43-3,
346,Nickel monoxide; nickel oxide; bunsenite,1313-99-1/ 11099-02-8/ 34492-97-2,
347,Nickel dioxide,12035-36-8,
104,Acrolein,107-02-8,
348,Nickel sulfide,16812-54-7,
349,"Hydrocarbons, C4, 1,3 -butadiene- and isobutene-free, if they contain > 0.1% w/w Butadiene",95465-89-7,
350,Benzo[def]chrysene; (=benzo[a]pyrene),50-32-8,
351,"Pitch, coal tar, high -temp., heat-treated, if it contains > 0.005% w/w benzo[a]pyrene",121575-60-8,
352,"Dibenz[a,h]anthracene",53-70-3,
353,Benz[a]anthracene,56-55-3,
354,Benzo[j]fluoranthene,205-82-3,
355,Benz[e]acephenanthrylene,205-99-2,
356,Benzo[k]fluoranthene,207-08-9,
357,Chrysene,218-01-9,
105,Acrylamide,79-06-1,如化粧品中使用含Polyacrylamides 及其相關聚合物成分之原料時，則其最終製品中所含Acrylamide之殘留量不得超過0.1ppm；對於使用後須沖洗掉或非駐留身體肌膚用之化粧品，其最終製品中所含Acrylamide之殘留量不得超過0.5ppm。
358,"2,3-Dibromopropan-1-ol",96-13-9,
359,"1,3-Dichloropropan-2-ol",96-23-1,
360,alpha-Chlorotoluene (Benzyl chloride),100-44-7,
361,Methyloxirane (Propylene oxide),75-56-9,
362,"1,2-Epoxy-3-phenoxypropane (Phenylglycidyl ether)",122-60-1,
363,"2,3-Epoxypropan-1-ol (Glycidol)",556-52-5,
364,Urethane (Ethyl carbamate),51-79-6,
365,2-Nitropropane,79-46-9,
366,2-Nitroanisole,91-23-6,
367,"2,4-Dinitrotoluene; Dinitrotoluene, technical grade",121-14-2/ 25321-14-6,
106,Acrylonitrile,107-13-1,
368,5-Nitroacenaphthene,602-87-9,
369,"2,6-Dinitrotoluene",606-20-2,
370,1-Methyl-3-nitro-1-nitrosoguanidine,70-25-7,
371,"4,4'-(4-Iminocyclohexa-2,5-dienylidenemethylene) dianiline hydrochloride",569-61-9/479-73-2,
372,o-Toluidine based dyes,,
373,(Methyl-ONN-azoxy)methyl acetate,592-62-1,
374,Furan,110-00-9,
375,"1,3-Propanesultone",1120-71-4,
377,Erionite,12510-42-8,
107,Aldrin (ISO),309-00-2,
378,"Disodium 4 -amino-3-[[4'-[(2,4-diaminophenyl)azo] [1,1'-biphenyl]-4-yl]azo]-5-hydroxy-6-(phenylazo)naphthalene-2,7-disulphonate",1937-37-7,
379,"Disodium[5 -[[4'-[[2,6-dihydroxy-3-[(2-hydroxy-5-sulphophenyl)azo]phenyl]azo][1,1'-biphenyl]-4-yl]azo]salicylato(4-)]cuprate(2-)",16071-86-6,
380,Resorcinol diglycidyl ether,101-90-6,
381,Divanadium pentaoxide,1314-62-1,
382,Chlordecone,143-50-0,
383,Chlorothalonil,1897-45-6,
384,"Dodecachloropentacyclo[5.2.1.02,6.03,9.05,8]decane (Mirex)",2385-85-5,
385,"4,4'-Carbonimidoylbis[N,N-dimethylaniline] and its salts",492-80-8,
386,Acetamide,60-35-5,
387,1-Vinyl-2-pyrrolidone,88-12-0,
108,Allyl alcohol,107-18-6,
388,"α, α-Dichlorotoluene",98-87-3,
389,"Isoprene (stabilized); (2 -Methyl-1,3-butadiene)",78-79-5,
390,1-Bromopropane; n-Propyl bromide,106-94-5,
391,"Chloroprene (stabilized); (2 -Chlorobuta-1,3-diene)",126-99-8,
392,"4,4'-Bis(dimethylamino)benzophenone; (Michler's ketone)",90-94-8,
393,"1,4-Dichlorobenzene (p-Dichlorobenzene)",106-46-7,
394,"Creosote, if it contains > 0.005 % w/w benzo[a]pyrene",8001-58-9,
109,Biphenyl-4-ylamine (4-Aminobiphenyl) and its salts,92-67-1,
11,"Cells, tissues or products of human origin",,經中央主管機關就個別業者之各別外泌體個案審查通過者，不在此限 註。
110,"Aniline, its salts and its halogenated and sulphonated derivatives",62-53-3,
111,Asbestos,1332-21-4,化粧品及其滑石粉(Talc)原料，依國際間公認之檢驗方法，不得檢出石綿成分。
112,Benzidine/Benzidine acetate/Benzidine sulfate/Benzidine dihydrochloride/Benzidine dihydrofluoride/Benzidine perchlorate/Benzidine perchlorate/Benzidine diperchlorate,92-87-5/36341-27-2/531-86-2/531-85-1/41766-73-8/29806-76-6/38668-12-1/41195-21-5,
