url,name,cas_number,ec_number
https://incidecoder.com/ingredients/1-2-hexanediol,"1,2-Hexanediol",6920-22-5,230-029-6
https://incidecoder.com/ingredients/4-methylbenzylidene-camphor,4-Methylbenzylidene Camphor,36861-47-9,253-242-6
https://incidecoder.com/ingredients/4-t-butylcyclohexanol,4-T-Butylcyclohexanol,98-52-2,202-676-4
https://incidecoder.com/ingredients/acacia-decurrens-flower-wax,Acacia Decurrens Flower Wax,,
https://incidecoder.com/ingredients/acacia-decurrens-jojoba-sunflower-seed-wax-polyglyceryl-3-esters,Acacia Decurrens/Jojoba/ Sunflower Seed Wax Polyglyceryl-3 Esters,,
https://incidecoder.com/ingredients/acacia-senegal-gum,Acacia Senegal Gum,9000-01-5,232-519-5
https://incidecoder.com/ingredients/acer-saccharum-extract,Acer Saccharum Extract,91770-22-8,294-807-7
https://incidecoder.com/ingredients/acetamidoethoxyethanol,Acetamidoethoxyethanol,118974-46-2,
https://incidecoder.com/ingredients/acetic-acid,Acetic Acid,64-19-7,200-580-7
https://incidecoder.com/ingredients/acetyl-dipeptide-1-cetyl-ester,Acetyl Dipeptide-1 Cetyl Ester,,
https://incidecoder.com/ingredients/acetyl-glucosamine,Acetyl Glucosamine,10036-64-3,233-115-1
https://incidecoder.com/ingredients/acetyl-glycyl-beta-alanine,Acetyl Glycyl Beta-Alanine,1016788-34-3,
https://incidecoder.com/ingredients/acetyl-hexapeptide-1,Acetyl Hexapeptide-1,,
https://incidecoder.com/ingredients/acetyl-hexapeptide-8,Acetyl Hexapeptide-8,616204-22-9,
https://incidecoder.com/ingredients/acetyl-octapeptide-3,Acetyl Octapeptide-3,,
https://incidecoder.com/ingredients/acetyl-tetrapeptide-2,Acetyl Tetrapeptide-2,,
https://incidecoder.com/ingredients/acetyl-tetrapeptide-3,Acetyl Tetrapeptide-3,,
https://incidecoder.com/ingredients/acetyl-tetrapeptide-5,Acetyl Tetrapeptide-5,,
https://incidecoder.com/ingredients/acetylarginyltryptophyl-diphenylglycine,Acetylarginyltryptophyl Diphenylglycine,,
https://incidecoder.com/ingredients/acrylates-copolymer,Acrylates Copolymer,25133-97-5,
https://incidecoder.com/ingredients/acrylates-c10-30-alkyl-acrylate-crosspolymer,Acrylates/C10-30 Alkyl Acrylate Crosspolymer,,
https://incidecoder.com/ingredients/acrylates-c12-22-alkyl-methacrylate-copolymer,Acrylates/C12-22 Alkyl Methacrylate Copolymer,,
https://incidecoder.com/ingredients/acrylates-dimethicone-copolymer,Acrylates/Dimethicone Copolymer,,
https://incidecoder.com/ingredients/acrylates-ethylhexyl-acrylate-crosspolymer,Acrylates/Ethylhexyl Acrylate Crosspolymer,,
https://incidecoder.com/ingredients/acrylonitrile-methyl-methacrylate-vinylidene-chloride-copolymer,Acrylonitrile/Methyl Methacrylate/Vinylidene Chloride Copolymer,25214-39-5,
https://incidecoder.com/ingredients/adansonia-digitata-seed-oil,Adansonia Digitata Seed Oil,91745-12-9,294-680-8
https://incidecoder.com/ingredients/adenosine,Adenosine,58-61-7,200-389-9
https://incidecoder.com/ingredients/adipic-acid-neopentyl-glycol-crosspolymer,Adipic Acid/Neopentyl Glycol Crosspolymer,,
