cleaned_name,manual_cas_number,notes
acacia decurrens flower wax,98903-76-5,Found on SpecialChem
acacia decurrens/jojoba/ sunflower seed wax polyglyceryl-3 esters,,Speciality blend - no CAS 
acrylates/c10-30 alkyl acrylate crosspolymer,176429-87-1,Found on Special Chem
acrylates/c12-22 alkyl methacrylate copolymer,,Specialized copolymer - no CAS 
acrylates/dimethicone copolymer,,Non-assigned or custom-synthesized substance - no CAS 
acrylates/ethylhexyl acrylate crosspolymer,,Specialized+crosslinked copolymer - no CAS 
adipic acid/neopentyl glycol crosspolymer,,Used in cosmetics for binding and viscosity control - no CAS 
agonis fragrans branch/leaf oil,934621-96-2,Found on The Perfumers Apprentice
ahnfeltia concinna extract,223749-75-5,Found on SpecialChem
aleurites moluccana seed oil,8015-80-3,Found on SpecialChem
alpaflor edelweiss ep,,Mixture - no CAS 
alpha-glucan oligosaccharide,27707-45-5,Found on SpecialChem
alteromonas ferment extract,267233-41-0,Found in Google Search
alteromonas ferment filtrate,,Humectant - no CAS 
ammonium acryloyldimethyltaurate/vp copolymer,335383-60-3,Found on ECHA
ananas sativus fruit extract,68917-26-0,Found on GoodScents
aphanizomenon flos-aquae extract,,Nutrient-dense blue-green algae powder - no CAS 
aristotelia chilensis oil,,Natural oil obtained from the seeds of the Aristotelia chilensis  - no CAS 
arnica montana extract,68990-11-4,Found on eChem portal
aronia melanocarpa fruit extract,1197991-17-5,Found on GoodScents 
beraclay light red,1332-58-7,Found on SpecialChem
bis stearyl ethylenediamine/neopentyl glycol/stearyl hydrogenated dimer dilinoleate copolymer,,Identified by structural description - no CAS 
bis-peg-18 methyl ether dimethyl silane,67846-47-3,Found on PubChem
bis-peg/ppg-14/14 dimethicone,151662-01-0,Found on Google
c10-30 cholesterol/lanosterol esters,97862-72-1,Found on Google 
c12-20 alkyl glucoside,,Surfactant (cleansing agent) and emulsifier (emulsion stabilizer) - no CAS
c14-22 alcohols,68002-95-9,Found on Google
caffeyl glucoside,14364-08-0,Found on NIH
calophyllum inophyllum seed oil,241148-25-4,Found on PubChem
calophyllum tacamahaca oil,223748-12-7,Found on SpecialChem
camelina sativa seed oil,8956-68-3,Found on SpecialChem
camellia oleifera leaf extract,94333-93-4,Found on GoodScents
candelilla/jojoba/rice bran polyglyceryl-3 esters,,Natural and plant-derived emulsifier - no CAS
caprooyl tetrapeptide-3,1012317-71-3,Found on Cayman Chemical
caprylyl caprylate/caprate,2306-92-5,Found on Google
cetearyl nonanoate,878027-13-5, Found on NIH
cetearyl olivate,223706-40-9, Found on Ataman Chemical
cetraria islandica thallus extract,84776-25-0,Found on Google
cetyl peg/ppg-10/1 dimethicone,142321-71-9,Found by ECHA
chondrus crispus,244023-79-8,Found on SpecialChem
coco-caprylate,95912-86-0,Found on SpecialChem
coco-caprylate/caprate,95912-86-0,Found on SpecialChem
coconut alkanes,112-40-3,Found in KoboProducts
colloidal oatmeal,134134-86-4,Found in Natural Bulk Supplies
copper palmitoyl heptapeptide-14,,Skin-conditioning agent to enhance collagen and elastin - no CAS
corylus avellana seed oil,84012-21-5,Found on SpecialChem
crambe abyssinica seed oil,68956-68-3,Found on SpecialChem
curculigo orchioides root extract,85643-19-2,Found on GoodScents
decapeptide-22,,Synthetic peptide - no CAS
diisostearoyl polyglyceryl-3 dimer dilinoleate,187547-43-9,Found on GoodScents
dilinoleic acid/propanediol copolymer,1110650-80-0,Found on GoodScents
dimethicone,9006-65-9,Found on Google
dimethicone crosspolymer,300-00-5,Found on SpecialChem
dimethicone/peg-10/15 crosspolymer,870616-55-0,Found on Google
dimethylacrylamide/acrylic acid/polystyrene ethyl methacrylate copolymer,,Specialized polymer used for film-forming+skin conditioning+and viscosity control - no CAS
disodium coco-glucoside citrate,151911-51-2,Found on ParChem
disodium cocoamphodiacetate,68650-39-5,Found on Google
disodium lauriminodipropionate tocopheryl phosphates,694490-72-7,Found on NIH
dmpa/isophthalic acid/smdi copolymer,,Cosmetic polymer - no CAS
eucalyptus radiata leaf oil,92201-64-4,Found on GoodScents
galactomyces ferment filtrate,,Yeast byproduct - no CAS
gallyl glucoside,,Antioxidant compound - no CAS
globularia cordifolia callus culture extract,,Plant-derived cosmetic ingredient used for skin conditioning (Resistem) - no CAS
glyceryl acrylate/acrylic acid copolymer,,Polymer as thickener and moisturizor - no CAS
glyceryl behenate/eicosadioate,215322-01-3,Found on NIH
glycine soja seed extract,84776-91-0,Found on Google
glycyrrhiza glabra root extract,84775-66-6,Found on GoodScents
haematococcus pluvialis extract,,Used for high natural astaxanthin content - no CAS
hamamelis virginiana leaf extract,84696-19-5,Found on SpecialChem
hdi/trimethylol hexyllactone crosspolymer,129757-76-2,Found on PubChem
heptapeptide-15 palmitate,,Synthetic ingredient+used for anti-aging - no CAS
holly leaf oil,91845-35-1,Found on GoodScents
human adipose derived stem cell conditioned media,,Complex mixture for regenerative skincare - no CAS
human fibroblast conditioned media,,Mixture of proteins and growth for rejuvenation - no CAS
hydrolyzed hyaluronic acid,9004-61-9,Found on SpecialChem
hydrolyzed marine collagen,9064-67-9,Found on Google
hydrolyzed sodium hyaluronate,9067-32-7,Found on SpecialChem
hydrolyzed wheat protein/pvp crosspolymer,,Film-forming+hair-conditioning copolymer - no CAS
hydrolyzed yeast extract,8013-01-2,Found on Google
imperata cylindrica root extract,,Botanical extract derived from Cogon grass - no CAS
iron oxides,1332-37-2,Found on ChemicalBook
isoamyl cocoate,1451002-36-0,Found on NIH
isoceteth-20,69364-63-2,Found on ECHA
jojoba esters,61789-91-1,Found on UL
jojoba oil/macadamia seed oil esters,97593-46-9,Found on Google
kappaphycus alvarezii extract,1220882-73-4,Found on Google
lactobacillus ferment,1686112-36-6,Found on Google
lactobacillus ferment lysate filtrate,1686112-36-6,Found on ChemicalBook
lactobacillus/arundinaria gigantea ferment filtrate,,Antioxidant - no CAS
lactobacillus/eriodictyon californicum ferment extract,68990-14-7,Found on Google
lactobacillus/kelp ferment filtrate,,Also known as Sea Kelp Bioferment - no CAS
lactobacillus/nereocystis luetkeana ferment filtrate,92128-82-0,Found on Google 
lactobacillus/pumpkin ferment extract,,No CAS
lactobacillus/punica granatum fruit ferment extract,,Derived from fermenting pomegranate fruit with Lactobacillus bacteria - no CAS 
lactococcus ferment lysate,,Postbiotic to strengthen the skin barrier - no CAS
laminaria algae extract,92128-82-0,Found in Google
lauryl methacrylate/sodium methacrylate crosspolymer,,Cosmetic copolymer often used as a film-forming agent and stabilizer - no CAS
lauryl peg-9 polydimethylsiloxyethyl dimethicone,1178566-90-9,Found on NIH
lavandula angustifolia flower/leaf/stem oil,90063-37-9,Found on GoodScents
lentinus edodes mycelium extract,37339-90-5,Found on Google
leontopodium alpinum callus culture extract,,(Majestem)+Used for antioxidant and skin-tightening - no CAS
leuconostoc ferment filtrate,1686112-10-6,Found on Google
leuconostoc/radish root ferment filtrate,,Natural preservative - no CAS 
luminess algae,,Anti-aging and rejuvenation - no CAS considering it's a living organism
macrocystis pyrifera,347174-92-9,Found on GoodScents
maleated soybean oil glyceryl/octyldodecanol esters,2765086-37-9,Found on Google
malus domestica fruit cell culture,,Anti-aging - no CAS 
melaleuca teretifolia branch/leaf oil,1030313-70-2,Found on Google
mentha piperita leaf oil,8006-90-4,Found on Google
methoxyphenylimino dimethylcyclohexenyl ethyl glycinate,2640340-86-7,Found on Google
methyl methacrylate/peg/ppg-4/3 methacrylate crosspolymer,,Synthetic polymer - no CAS 
methylheptyl laurate,55194-07-5,Found on GoodScents
microcitrus australasica fruit extract,1174331-57-7,Found on Google
myristoyl nonapeptide-3,,Retinol-mimicking+anti-aging peptide - no CAS
ogliopeptide-78,,Synthetic human peptide used in hair care - no CAS
oleic/linoleic/linolenic polyglycerides,368869-31-2,Marketed as Viamerine+found on Google
olive oil glycereth-8 esters,869734-38-3,Found on UL
onsen-sui,7732-18-5,Same as water (Japanese hot spring water)
padina pavonica thallus extract,,Natural brown algae extract - no CAS
palmitoyl decapeptide-21,,Synthetic peptide used as a skin-conditioning agent in cosmetic formulations - no CAS
palmitoyl grapevine shoot extract,,Antioxident and skin protecting agent - no CAS
palmitoyl heptapeptide-18,,Synthetic peptide used in cosmetics for anti-aging and skin conditioning - no CAS
palmitoyl hexapeptide-19,,Peptide ingredient for cosmetic use - no CAS
palmitoyl hexapeptide-52,,Synthetic peptide used in cosmetics for skin conditioning - no CAS
parabens,,General name for group of preservatives commonly used in cosmetics - no CAS
parfum/fragrance,,Not a single chemical substance - no CAS
peat,,Natural organic material [aka "nuisance dust" or "Particulates Not Otherwise Regulated" (PNOR)] - no CAS
peg-10 dimethicone,68937-54-2,Found on Google
peg-12 dimethicone,68937-54-2,Found on Google
peg-12 dimethicone/ppg-20 crosspolymer,1310362-62-9,Found on Google
peg-12 glyceryl dimyristate,75815-56-0,Found on NIH
peg-20 glyceryl triisostearate,86846-21-1,Found on SpecialChem
peg-30 dipolyhydroxystearate,827596-80-5,Found on NIH
peg-6 caprylic/capric glycerides,,Non-ionic surfactant and emollient - no CAS
peg-8 dimethicone,68937-54-2,Found on Google
peg-9 polydimethylsiloxyethyl dimethicone,1178566-90-9,Found on NIH
peg/ppg-18/18 dimethicone,68937-55-3,Found on NIH
peg/ppg/polybutylene glycol-8/5/3 glycerin,220144-83-2,Found on Google
pelargonium graveolens leaf oil,90082-51-2,Found on GoodScents
pelargonium graveolens leaf/flower oil,90082-51-2,Found on GoodScents
phytosteryl macadamiate,68990-51-2,Found on NIH
phytosteryl sunflowerseedate,,Skin-conditioning cosmetic ingredient - no CAS
phytosteryl/octyldodecyl lauroyl glutamate,220465-88-3,Found on GoodScents
plukenetia volubilis seed oil,68956-68-3,Found on Google
polyacrylate crosspolymer-6,111286-86-3,Found on Google
polyacrylate-13,,Synthetic copolymer - no CAS
polyamide-8,68139-70-8,Found on Google
polyethylene,9002-88-4,Found on Google
polyglyceryl-10 behenate/eicosadioate,457632-32-5,Found on UL
polyglyceryl-2 sesquicaprylate,148618-57-9,Found on Google
polyglyceryl-3 cetearyl ether olivate,,PEG-free+non-ionic+and natural-derived O/W emulsifier composed of Polyglycerin-3+Cetearyl Alcohol+and Olive Acid - no CAS
polyglyceryl-3 methylglucose distearate,157175-98-9,Found on NIH
polyglyceryl-4 laurate/succinate,,Mixture - no CAS
polyglyceryl-6 behenate,99149-24-3,Found on FDA
pongamia glabra seed oil,247588-54-1,Found on Google
potassium acrylates/c10-30 alkyl acrylate crosspolymer,176429-87-1,Found on SpecialChem
ppg-15 stearyl ether benzoate,25231-21-4,Found on Google
pseudoalteromonas exopolysaccharides,267233-41-0,Found on Google
pseudoalteromonas ferment extract,267233-41-0,Found on Google
pseudozyma epicola,,Yeast-like fungus - no CAS
pseudozyma epicola/camellia sinensis seed oil/glucose/glycine soja meal/malt extract/yeast extract ferment filtrate,,Complex cosmetic ingredient (aka Fermentoil Green Tea Seed) - no CAS
